Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2010-02-17,24.815275,24.842122,24.2157,24.689991,1554600.0,,
2010-02-16,24.725787,24.725787,24.439422,24.672093,1415300.0,,
2010-02-15,24.475218,24.475218,24.475218,24.475218,0.0,,
2010-02-12,24.493115,24.502064,24.188853,24.475218,971100.0,,
2010-02-11,24.2157,24.672093,24.126211,24.627349,986800.0,,
2010-02-10,24.287291,24.448371,23.875642,24.332035,934900.0,0.997054,17.0
2010-02-09,24.3139,24.447738,24.090837,24.233598,723800.0,,
2010-02-08,24.144372,24.251443,23.930231,24.046224,712600.0,,
2010-02-05,24.447738,24.447738,23.787471,24.09976,1678300.0,,
2010-02-04,25.009858,25.179386,24.465583,24.465583,1228800.0,,
2010-02-03,25.384604,25.50952,25.009858,25.268611,1165200.0,,
2010-02-02,24.84033,25.527365,24.733259,25.473829,1498000.0,,
2010-02-01,24.492351,24.786795,24.162217,24.760027,1021300.0,,
2010-01-29,24.403126,24.635111,24.3139,24.322823,1373200.0,,
2010-01-28,24.394203,24.768949,24.340668,24.340668,784500.0,,
2010-01-27,24.358513,24.590499,24.13545,24.322823,1218900.0,,
2010-01-26,24.670802,24.98309,24.394203,24.483428,1433800.0,,
2010-01-25,23.939154,24.394203,23.805316,24.188985,1738800.0,,
2010-01-22,23.546563,23.912386,23.394879,23.787471,1450700.0,,
2010-01-21,24.180062,24.251443,23.421647,23.716091,1186800.0,,
2010-01-20,24.287133,24.304978,23.876696,24.215752,747600.0,,
2010-01-19,24.019457,24.626189,24.019457,24.420971,874600.0,,
2010-01-18,24.019457,24.019457,24.019457,24.019457,0.0,,
2010-01-15,24.197907,24.322823,23.921309,24.019457,881500.0,,
2010-01-14,24.055147,24.3139,23.965922,24.27821,666500.0,,
2010-01-13,23.742858,24.20683,23.742858,24.126527,931300.0,,
2010-01-12,23.43057,23.689323,23.368112,23.662555,795700.0,,
2010-01-11,23.600098,23.600098,23.368112,23.50195,745300.0,,
2010-01-08,23.082591,23.287809,22.913063,23.243196,1366500.0,,
2010-01-07,23.011211,23.341344,22.895218,22.993366,1817800.0,,
2010-01-06,23.519795,23.582253,23.278887,23.368112,762900.0,,
2010-01-05,23.778548,23.778548,23.53764,23.591175,828700.0,,
2010-01-04,23.484105,23.814239,23.43057,23.760703,1036000.0,,
2010-01-01,23.261042,23.261042,23.261042,23.261042,0.0,,
2009-12-31,23.57333,23.57333,23.234274,23.261042,663300.0,,
2009-12-30,23.43057,23.53764,23.305654,23.475182,526400.0,,
2009-12-29,23.64471,23.698246,23.519795,23.528717,440400.0,,
2009-12-28,23.582253,23.662555,23.475182,23.564408,346300.0,,
2009-12-25,23.50195,23.50195,23.50195,23.50195,0.0,,
2009-12-24,23.57333,23.600098,23.484105,23.50195,141100.0,,
2009-12-23,23.555485,23.591175,23.377034,23.484105,476600.0,,
2009-12-22,23.421647,23.564408,23.332422,23.475182,676900.0,,
2009-12-21,23.278887,23.689323,23.198584,23.296732,706500.0,,
2009-12-18,23.180739,23.332422,23.011211,23.225351,2557000.0,,
2009-12-17,23.305654,23.421647,23.073668,23.073668,1358900.0,,
2009-12-16,23.403802,23.698246,23.269964,23.314577,1935300.0,,
2009-12-15,22.359866,23.127204,22.306331,23.002288,1725800.0,,
2009-12-14,22.324176,22.475859,22.261718,22.306331,795700.0,,
2009-12-11,22.359866,22.422323,22.083267,22.118957,1001500.0,,
2009-12-10,21.860204,22.413401,21.860204,22.350943,2005300.0,,
2009-12-09,21.637141,21.860204,21.547915,21.860204,1315300.0,,
2009-12-08,21.922662,22.011887,21.592528,21.619296,1243100.0,,
2009-12-07,22.083267,22.19926,21.895894,21.985119,812000.0,,
2009-12-04,22.12788,22.243873,21.797746,22.011887,1166700.0,,
2009-12-03,22.065422,22.181415,21.922662,21.931584,1060100.0,,
2009-12-02,22.190338,22.243873,22.011887,22.09219,1029500.0,,
2009-12-01,22.12788,22.261718,22.038655,22.172493,1253300.0,,
2009-11-30,22.145725,22.145725,21.842359,22.029732,1544800.0,,
2009-11-27,21.904817,22.333098,21.851281,22.181415,465800.0,,
2009-11-26,22.288485,22.288485,22.288485,22.288485,0.0,,
2009-11-25,22.475859,22.475859,22.27064,22.288485,744600.0,,
2009-11-24,22.324176,22.368788,22.136802,22.324176,734700.0,,
2009-11-23,22.306331,22.395556,22.011887,22.279563,1219000.0,,
2009-11-20,21.601451,22.038655,21.56576,21.851281,1942000.0,,
2009-11-19,21.788824,21.869126,21.521148,21.601451,900300.0,0.996731,17.0
2009-11-18,21.441895,21.806523,21.441895,21.762056,875000.0,,
2009-11-17,21.806523,21.806523,21.539722,21.593082,757300.0,,
2009-11-16,22.09111,22.100004,21.770949,21.806523,1097800.0,,
2009-11-13,21.450788,21.948817,21.450788,21.87767,1025700.0,,
2009-11-12,21.601976,21.708696,21.299601,21.326281,907000.0,,
2009-11-11,21.744269,21.744269,21.388535,21.584189,588600.0,,
2009-11-10,21.281815,21.673122,21.157307,21.646442,1094200.0,,
2009-11-09,21.041694,21.210668,20.92608,21.175094,920400.0,,
2009-11-06,20.766,21.00612,20.543666,21.00612,639300.0,,
2009-11-05,20.632599,20.97944,20.597026,20.837146,1222600.0,,
2009-11-04,20.677066,20.934973,20.579239,20.579239,1218600.0,,
2009-11-03,20.8994,20.8994,20.259078,20.632599,1742800.0,,
2009-11-02,19.876663,20.170144,19.636543,20.018957,1111700.0,,
2009-10-30,20.063424,20.312438,19.681009,19.698796,1287000.0,,
2009-10-29,19.89445,20.179038,19.823303,20.152358,945000.0,,
2009-10-28,20.285758,20.356905,19.81441,19.81441,1153200.0,,
2009-10-27,20.356905,20.561452,20.232398,20.285758,890000.0,,
2009-10-26,20.685959,20.943867,20.330225,20.383585,956200.0,,
2009-10-23,20.890507,20.890507,20.454732,20.623706,1118400.0,,
2009-10-22,20.79268,21.023907,20.79268,20.890507,1038300.0,,
2009-10-21,21.041694,21.192881,20.863827,20.87272,1376900.0,,
2009-10-20,20.774893,21.219561,20.774893,21.086161,1163900.0,,
